Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert,CleanedName,lat,lon
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,32.9,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,57056.0,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Temperatur,Allgemeine Parameter,°C,,7.7,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.2,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-10,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,20672.0,,Reservoir Lyren,47.37964805,8.472921427503902
2023-01-17,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Temperatur,Allgemeine Parameter,°C,,8.0,,Reservoir Waldegg/GALM,,
2023-01-17,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,1.0,300.0,Reservoir Waldegg/GALM,,
2023-01-17,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,E. coli,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Waldegg/GALM,,
2023-01-17,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Waldegg/GALM,,
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Temperatur,Allgemeine Parameter,°C,,12.5,,Reservoir Höngg,,
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,2.0,300.0,Reservoir Höngg,,
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Höngg,,
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Temperatur,Allgemeine Parameter,°C,,12.8,,Reservoir Höngg,,
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,2.0,300.0,Reservoir Höngg,,
2023-01-17,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Höngg,,
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Temperatur,Allgemeine Parameter,°C,,13.1,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,3.0,300.0,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Temperatur,Allgemeine Parameter,°C,,12.6,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,1.0,300.0,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-17,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Waidberg,47.40290225,8.51402519217839
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Temperatur,Allgemeine Parameter,°C,,13.1,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,3.0,300.0,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Käferberg,47.4036605,8.52299175722067
2023-01-17,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Temperatur,Allgemeine Parameter,°C,,12.6,,Reservoir Käferberg,47.4036605,8.52299175722067
