Datum,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Richtwert,Höchstwert,CleanedName,lat,lon
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Atrazin-2-hydroxy,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Atrazin-desethyl-desisopropyl,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chloridazon,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chloridazon-desphenyl,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chloridazon-methyl-desphenyl,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chlorthalonil R417888,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chlorthalonil R419492,Pestizide und Metaboliten,ng/L,20.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chlorthalonil R471811,Pestizide und Metaboliten,ng/L,20.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chlorthalonil SYN507900,Pestizide und Metaboliten,ng/L,20.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chlorthalonil SYN548580,Pestizide und Metaboliten,ng/L,20.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chlorthalonil SYN548581,Pestizide und Metaboliten,ng/L,20.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Chlortoluron,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
